,int_rate,dti,fico_avg,annual_inc,loan_amnt,term,revol_util,inq_last_6mths,delinq_2yrs,open_acc,payment_to_income,log_loan_amnt,log_revol_bal,credit_history_age_days,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,application_type_Joint App
4669,22.45,8.84,717.0,110000.0,20000.0,60,86.1,0.0,1.0,9.0,0.005068226652484977,9.903537551286169,10.674151175523901,6574,0,0,0,0,1,0,0,1,1,0,0
869,10.78,26.64,697.0,45000.0,13000.0,36,24.0,0.0,0.0,16.0,0.009427790493544587,9.472781556562168,8.881697406469304,5388,1,0,0,0,0,0,0,0,0,1,0
5195,7.91,21.0,682.0,118000.0,10000.0,36,77.5,0.0,3.0,8.0,0.0026520961686765363,9.210440366976515,9.241063544619022,10471,0,0,0,0,0,0,0,0,0,1,0
6352,9.17,26.08,692.0,45000.0,10000.0,36,42.4,1.0,0.0,12.0,0.0070840647985600325,9.210440366976515,9.837134051986107,5753,1,0,0,0,0,0,1,0,0,1,0
6361,9.17,21.54,667.0,102000.0,11200.0,36,44.3,1.0,0.0,10.0,0.00350045587788355,9.32375833901174,8.620291149419804,11810,1,0,0,0,0,0,1,0,1,0,0
7769,13.67,25.49,682.0,54000.0,12500.0,36,40.5,1.0,1.0,9.0,0.007874298624099555,9.433563920090563,8.464214266625351,3955,0,1,0,0,0,0,0,0,1,0,0
3981,12.88,5.52,672.0,30000.0,5000.0,36,66.8,1.0,0.0,5.0,0.005606146461784607,8.517393171418904,8.262300941787448,1278,0,1,0,0,0,0,0,1,1,0,0
5990,17.27,13.52,667.0,106000.0,35000.0,36,96.8,0.0,0.0,8.0,0.011816492297242479,10.463131911491967,10.458664933872619,3805,0,0,1,0,0,0,0,0,0,1,0
4378,7.91,9.94,692.0,40000.0,6500.0,36,40.4,0.0,0.0,7.0,0.0050853728656783575,8.77971129020447,8.641885635373555,2922,0,0,0,0,0,0,0,1,1,0,0
5007,10.78,33.84,692.0,17000.0,6000.0,36,83.0,0.0,0.0,20.0,0.011517557790718193,8.699681400989512,9.231220849555537,2282,1,0,0,0,0,0,0,1,0,0,0
90,9.17,11.98,802.0,50000.0,9000.0,36,48.5,2.0,0.0,5.0,0.005738285234295314,9.105090961257085,8.925188429378027,5296,1,0,0,0,0,0,1,0,0,0,0
8444,7.26,9.86,797.0,150000.0,20000.0,36,9.9,1.0,0.0,13.0,0.004132839114405903,9.903537551286169,9.332292482726928,6512,0,0,0,0,0,0,0,0,0,0,0
2947,6.49,7.87,712.0,110000.0,24000.0,36,37.4,0.0,0.0,15.0,0.006686030126998845,10.085850775128717,10.201627252886743,12297,0,0,0,0,0,0,1,0,1,0,0
2490,13.44,24.83,712.0,68000.0,9000.0,36,91.9,1.0,0.0,12.0,0.004487581064984339,9.105090961257085,10.134242066851673,4748,0,1,0,0,0,0,0,0,0,0,0
9716,6.24,14.62,682.0,230000.0,24000.0,36,58.2,0.0,1.0,14.0,0.0031858122355989758,10.085850775128717,12.091391045446558,5143,0,0,0,0,0,0,0,0,1,0,0
2798,12.88,38.45,677.0,49583.0,18000.0,36,87.0,0.0,0.0,6.0,0.01221079380445305,9.798182590890704,10.052640047938569,5478,0,1,0,0,0,0,1,0,0,1,0
9676,8.38,8.69,682.0,62000.0,12000.0,36,98.1,0.0,0.0,7.0,0.00609909517588426,9.392745258631441,9.46931428029122,3621,1,0,0,0,0,0,0,0,0,0,0
536,18.99,18.41,687.0,28948.92,11550.0,36,77.8,0.0,0.0,9.0,0.014622492911897511,9.35452729228868,9.606361021256347,5143,0,0,0,1,0,0,0,0,0,1,0
